시군구,month,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),other_avg_temp(C),other_daily_rain(mm),other_avg_wind(m/s),other_avg_r_humidity(%)
부산광역시,6,19.6,9.2,3.3,67.6,21.4,1.1,2.9,70.4
부산광역시,12,2.2,0.0,3.8,45.3,7.5,3.5,3.0,54.2
부안군,1,2.3,0.2,1.6,70.2,0.3,0.9,1.5,71.9
부안군,2,0.0,0.0,0.8,71.6,3.3,0.8,1.9,68.6
부안군,12,1.5,10.4,1.9,76.4,2.7,1.0,1.3,72.0
부여군,1,3.2,0.0,0.9,75.8,-1.0,0.1,0.9,69.8
상주시,12,1.9,0.0,1.0,48.4,-0.1,0.1,1.9,58.2
서산시,1,5.3,0.4,1.6,93.8,-1.4,0.7,2.0,80.4
서울특별시,5,16.2,0.0,3.3,41.1,17.8,3.5,2.6,60.0
서천군,1,-1.5,0.0,1.1,78.4,0.7,0.2,1.6,72.3
성남시,12,-3.9,1.4,1.3,70.1,-2.0,0.9,2.0,60.0
성주군,1,-1.4,0.0,1.5,47.5,-4.2,0.1,2.9,43.1
세종특별자치시,1,-3.4,0.0,0.7,60.9,-1.7,0.7,1.3,62.4
세종특별자치시,3,6.6,9.5,1.1,64.8,8.5,1.1,1.8,63.9
세종특별자치시,11,0.2,3.0,0.7,87.5,7.4,0.9,1.2,71.9
세종특별자치시,12,3.3,0.7,1.1,68.5,2.0,2.2,1.3,70.7
수원시,1,2.1,0.2,1.4,66.7,-0.7,0.4,1.6,61.5
수원시,2,6.7,0.0,1.6,69.8,1.9,0.6,1.8,60.7
순창군,3,1.2,0.5,2.6,48.6,7.8,3.5,2.0,65.2
순창군,4,15.2,0.1,2.1,73.1,12.7,1.4,1.9,61.4
순창군,6,20.4,0.0,2.5,65.5,21.6,0.8,1.8,67.3
순천시,2,9.8,0.0,2.8,64.6,2.5,0.4,1.7,62.1
신안군,1,2.2,0.0,1.9,77.1,2.3,0.4,3.5,75.8
아산시,1,-2.3,0.0,1.2,68.1,-4.5,0.4,1.8,65.5
아산시,2,-3.8,0.8,3.1,58.3,1.9,0.7,2.4,62.9
아산시,3,7.6,0.0,1.8,49.3,6.5,1.4,2.1,62.6
아산시,11,0.2,0.0,1.5,40.0,6.1,1.2,1.1,69.9
아산시,12,0.8,1.9,0.9,72.8,0.2,0.7,1.5,70.1
안성시,1,-2.0,0.6,1.1,67.5,-4.5,0.4,1.3,60.9
안성시,2,0.3,0.0,1.5,54.6,1.2,1.0,1.3,61.2
안성시,3,4.4,0.4,2.1,51.1,6.5,0.7,1.7,48.1
안성시,4,6.4,17.7,1.2,80.3,12.4,3.2,1.7,56.6
안성시,5,17.7,0.0,1.5,61.2,16.7,3.1,1.5,66.3
안성시,6,22.5,0.0,1.1,66.0,22.1,2.3,1.3,64.7
안성시,11,-1.5,0.0,0.9,60.5,6.2,0.6,1.2,64.3
안성시,12,0.1,1.2,1.3,66.4,0.6,2.3,1.1,63.0
양산시,1,-0.4,0.0,3.5,34.6,-0.6,0.0,1.3,53.9
양산시,2,10.6,0.0,2.7,61.1,4.9,2.7,2.4,57.4
양산시,5,13.2,5.0,1.4,72.6,18.1,5.9,1.6,62.2
양산시,6,21.1,0.0,2.3,56.5,22.9,1.2,2.4,67.8
양산시,12,6.7,0.0,1.7,62.8,4.0,2.1,2.1,56.6
양주시,1,-1.9,0.0,1.4,56.4,-5.9,0.4,1.4,56.2
양주시,2,-4.7,0.0,3.2,43.9,-0.6,0.6,1.9,53.5
양주시,3,7.0,0.0,1.4,46.7,5.8,1.2,2.1,52.9
양주시,5,18.9,0.0,2.0,49.2,18.3,1.1,1.9,52.7
양주시,11,3.4,0.5,1.4,60.6,6.4,0.6,1.5,58.5
양평군,12,1.5,0.0,0.7,67.6,0.6,1.9,1.4,68.8
여수시,1,-2.0,0.0,6.4,40.4,-1.5,0.0,5.9,42.1
여주시,1,-0.7,0.0,0.6,73.0,-2.0,0.8,1.3,59.8
여주시,2,4.4,0.0,1.1,60.5,-0.3,2.2,1.2,66.2
여주시,12,0.3,0.2,1.1,66.9,-0.8,1.2,1.1,62.9
연천군,1,-3.2,0.0,2.4,44.4,-2.5,0.5,1.6,56.1
연천군,5,19.7,0.0,0.7,46.5,16.7,4.4,1.5,60.7
영광군,2,3.9,0.0,1.9,67.6,2.0,0.3,2.4,67.6
영광군,3,1.3,0.0,3.8,42.6,7.1,3.0,2.8,71.2
영암군,1,-0.3,0.7,3.5,63.0,0.1,0.5,2.5,66.0
영암군,2,2.6,0.4,2.1,60.1,4.6,1.1,2.1,65.8
영암군,3,5.9,0.0,4.3,52.8,8.1,3.1,2.1,73.3
영암군,4,12.0,0.0,2.7,79.5,12.8,1.8,2.6,68.4
영암군,5,18.6,2.6,1.9,70.0,18.3,4.2,2.1,69.2
영암군,6,20.2,1.3,1.5,89.5,21.6,3.9,1.9,83.2
영암군,9,21.4,73.1,1.7,93.1,21.4,1.4,1.4,81.0
영암군,10,15.5,1.1,1.5,75.9,15.4,2.9,1.4,79.7
영암군,11,13.6,3.3,1.8,86.4,10.5,2.6,1.6,80.8
영암군,12,3.1,0.4,2.1,70.1,2.7,1.0,1.9,69.3
영주시,2,2.5,0.3,6.9,65.8,1.9,0.3,3.6,54.5
영천시,3,5.2,0.0,3.3,36.0,5.2,0.6,2.5,44.3
영천시,4,11.7,0.3,1.9,49.5,11.8,3.9,2.3,54.9
영천시,5,19.0,0.0,1.5,58.5,17.6,3.0,2.1,60.7
예산군,12,-0.4,0.0,1.2,67.4,-1.1,0.2,1.1,70.2
옥천군,12,8.2,20.5,1.6,89.9,2.3,1.1,1.2,70.0
완주군,6,19.4,1.6,2.0,71.7,22.5,3.5,1.7,69.6
용인시,1,-5.6,0.6,2.1,54.5,-3.2,0.5,1.1,65.6
용인시,3,2.9,0.0,1.4,69.3,3.4,1.1,2.1,53.5
용인시,12,0.7,0.3,1.1,63.4,-0.6,1.1,1.1,63.8
울산광역시,2,5.1,0.0,1.9,48.5,4.5,0.8,2.3,51.6
울산광역시,4,16.2,0.0,1.9,46.0,14.3,3.1,2.3,59.4
울산광역시,5,19.2,0.0,2.2,66.9,17.7,4.1,2.3,68.2
울산광역시,6,18.0,0.0,2.6,69.6,21.3,1.3,1.9,74.6
울산광역시,12,0.3,0.0,3.2,29.4,5.0,0.4,2.6,42.9
원주시,2,1.9,0.0,1.4,28.0,2.5,0.2,1.2,52.1
음성군,1,-2.1,1.1,1.7,67.4,-3.8,0.4,1.4,64.1
음성군,2,1.3,0.4,1.8,55.7,1.2,0.7,1.6,59.2
음성군,3,3.2,0.6,2.1,49.9,7.1,1.7,1.8,54.5
음성군,11,5.4,0.9,1.2,72.4,6.4,0.8,1.3,67.3
음성군,12,0.7,0.7,1.5,68.7,-1.2,0.8,1.2,68.7
의정부시,4,10.4,3.9,3.1,62.0,12.8,2.7,1.9,53.3
이천시,1,-2.5,1.8,1.0,65.7,-4.8,0.4,1.2,62.4
이천시,2,4.1,0.8,1.3,66.1,0.5,1.2,1.4,60.3
이천시,3,7.6,0.0,1.8,53.4,6.3,1.9,1.6,50.1
이천시,4,14.8,0.0,1.6,50.8,13.1,1.9,1.6,53.0
이천시,11,1.5,0.1,0.8,71.8,6.4,0.6,1.2,63.3
이천시,12,0.2,0.2,1.1,64.6,-0.3,1.4,1.2,67.9
익산시,2,2.3,0.0,2.9,59.2,2.1,0.9,2.3,72.8
익산시,3,4.6,0.0,3.1,67.0,6.5,1.8,2.4,76.8
익산시,4,9.5,2.3,4.6,83.3,13.0,1.8,2.5,74.9
익산시,6,19.1,2.8,4.0,79.4,22.1,1.2,2.2,65.1
익산시,11,9.2,0.2,2.5,64.4,10.2,1.8,2.8,61.6
익산시,12,-1.6,0.3,0.9,82.7,1.6,0.7,2.2,68.8
인제군,1,1.2,0.0,2.2,60.1,-3.5,0.4,1.7,58.7
인천광역시,2,4.2,13.6,2.9,80.6,1.3,0.1,3.2,68.9
인천광역시,12,2.5,0.0,2.7,73.1,2.2,2.2,3.4,62.5
임실군,1,-1.7,0.0,1.1,60.0,-1.7,0.3,1.2,65.5
임실군,6,18.7,0.3,1.3,71.2,21.2,1.9,1.1,65.5
임실군,12,-4.6,0.0,2.0,54.4,-0.4,0.5,0.9,70.9
장성군,12,6.8,0.4,1.2,63.4,3.6,1.0,1.4,65.3
장흥군,1,-2.0,2.8,2.7,73.2,-1.3,0.6,2.9,63.8
장흥군,3,6.6,0.4,2.2,61.5,8.2,3.1,2.0,68.8
장흥군,4,11.1,0.0,1.3,64.5,13.4,1.9,2.1,62.7
장흥군,10,14.8,0.0,1.1,85.8,15.7,2.9,1.5,80.5
전주시,3,2.2,0.0,1.4,46.0,8.5,3.2,1.6,61.5
전주시,6,18.3,0.9,3.1,89.8,22.4,3.4,1.6,69.0
정읍시,1,2.8,0.4,1.3,70.1,0.4,1.1,1.4,68.7
정읍시,2,1.8,0.0,1.2,58.1,2.8,0.3,1.3,63.6
정읍시,3,11.7,0.0,1.1,68.8,6.6,1.2,1.5,56.7
정읍시,4,13.8,5.1,1.3,73.8,13.5,2.4,1.5,64.1
정읍시,11,6.6,0.0,0.8,70.0,9.0,2.4,1.3,68.1
정읍시,12,4.9,1.4,1.9,71.6,1.0,1.2,1.5,68.6
제주특별자치도,2,12.2,0.0,1.6,57.0,9.3,2.0,4.0,61.7
제주특별자치도,6,20.3,0.0,2.4,58.3,22.1,2.2,2.5,79.0
증평군,3,7.2,3.0,2.1,64.5,8.6,1.6,1.5,54.8
진도군,12,9.0,5.0,4.3,79.3,5.7,1.8,3.0,73.3
진안군,3,10.6,0.0,1.3,75.8,5.6,4.2,2.1,67.7
진주시,1,-9.1,0.0,1.0,48.0,0.9,0.5,1.1,63.1
진천군,1,1.1,0.0,0.7,49.4,0.1,0.2,1.0,57.3
진천군,2,2.1,0.8,2.0,53.5,3.1,0.1,1.3,56.1
진천군,3,4.5,0.2,1.4,48.6,7.7,1.5,1.4,42.5
진천군,4,16.0,0.0,1.3,45.1,14.7,1.5,1.5,50.9
진천군,11,1.8,0.1,1.1,53.4,8.1,1.0,1.3,60.9
진천군,12,4.4,0.1,1.1,60.6,1.2,1.0,1.5,61.2
천안시,1,-2.9,0.1,1.3,70.1,-2.6,0.4,1.7,68.4
천안시,2,0.9,0.0,1.3,64.4,0.2,0.9,2.0,61.7
천안시,3,4.6,0.0,3.0,53.0,5.8,1.7,2.5,59.5
천안시,4,10.6,0.0,2.2,50.8,13.6,2.2,2.1,57.0
천안시,11,0.6,0.3,1.4,58.7,6.2,1.2,1.1,69.3
천안시,12,2.1,2.9,1.2,74.2,-0.4,0.5,1.8,69.0
철원군,11,3.2,1.2,0.9,72.1,4.3,0.5,1.2,69.8
철원군,12,-0.1,1.7,1.6,68.9,-1.4,2.3,1.0,72.5
청양군,2,4.0,5.8,1.5,72.4,1.4,0.5,1.4,63.5
청양군,3,-1.4,0.0,4.1,42.4,5.9,1.4,1.4,61.0
청원군,11,11.1,0.0,1.1,63.5,6.8,0.9,1.3,59.5
청주시,3,9.7,0.0,1.2,51.4,8.5,1.8,1.5,55.4
청주시,11,2.2,0.0,1.2,42.8,7.1,0.9,1.3,60.2
청주시,12,2.6,0.1,1.4,57.4,2.2,1.5,1.3,61.6
춘천시,5,13.2,17.0,0.6,66.1,16.9,3.0,1.2,66.3
충주시,2,-4.0,0.0,3.7,43.9,1.9,0.5,1.6,58.2
충주시,3,8.0,0.0,1.0,52.7,8.1,2.8,1.6,64.1
충주시,12,-1.1,0.0,2.1,49.1,0.7,1.4,1.3,70.3
통영시,2,-1.6,0.0,3.5,48.0,7.0,2.6,2.8,62.0
파주시,1,-4.8,0.4,0.8,77.4,-8.0,0.4,1.3,64.7
파주시,6,19.0,0.0,1.5,48.0,20.9,1.5,1.4,69.6
평택시,1,-9.5,0.0,1.2,68.7,-5.4,0.4,1.8,65.1
평택시,2,1.9,0.3,1.9,55.9,1.6,0.7,1.8,62.4
평택시,3,3.4,0.0,3.2,54.2,7.5,1.7,2.1,64.6
평택시,4,13.0,0.0,1.5,59.6,12.8,1.2,2.5,60.0
평택시,11,2.3,0.0,1.5,63.6,6.0,1.2,1.1,69.1
평택시,12,0.5,1.7,1.3,72.4,-0.1,0.7,1.1,70.2
포천시,1,-3.8,0.4,1.3,63.7,-3.6,0.4,1.6,57.5
포천시,2,4.0,0.0,1.8,56.9,1.1,0.3,1.9,59.6
포천시,4,13.1,4.6,1.9,57.1,12.6,2.7,1.9,53.7
포천시,11,2.3,0.0,2.9,40.0,6.2,0.6,1.4,59.3
포천시,12,0.8,0.0,1.1,57.0,0.2,3.7,1.7,63.2
포항시,1,2.3,0.0,2.6,38.1,1.8,0.9,2.9,47.7
하동군,1,2.8,0.0,0.9,59.2,0.4,0.5,1.1,62.9
하동군,2,5.1,0.0,0.8,60.1,2.8,1.4,1.3,47.0
하동군,4,12.0,0.0,0.9,53.9,13.2,4.2,1.0,59.5
함평군,1,7.3,0.2,0.8,81.1,-0.0,1.1,1.6,73.3
함평군,2,0.1,0.0,2.2,68.6,2.2,0.3,2.4,67.6
함평군,3,5.2,0.5,3.0,74.2,7.0,3.1,2.8,70.0
함평군,7,27.0,6.7,3.1,76.1,24.7,8.5,2.1,83.4
해남군,1,7.0,0.0,1.8,73.4,1.6,0.7,1.9,64.7
해남군,2,2.9,0.0,2.3,50.4,2.8,0.9,2.2,65.8
해남군,11,6.2,0.0,1.0,70.5,8.8,2.9,2.1,70.1
해남군,12,0.3,0.0,2.2,56.3,4.6,1.9,2.1,69.9
홍성군,1,1.8,0.0,1.2,73.0,-2.1,1.0,1.3,72.9
홍성군,2,2.3,0.0,0.9,64.4,0.6,1.1,1.6,67.8
홍성군,3,3.3,0.0,1.8,53.5,6.3,1.5,1.9,66.8
화성시,1,0.2,0.7,1.7,71.4,-2.2,0.5,1.7,61.8
화성시,2,0.2,0.0,2.3,55.9,1.8,1.0,1.7,65.9
화성시,11,1.4,0.0,0.8,51.5,7.2,0.6,1.7,64.9
화성시,12,-1.7,0.2,1.8,57.2,0.8,1.2,1.7,66.1
화순군,1,-0.2,0.0,5.5,53.8,-1.9,0.0,5.0,52.6
화순군,10,15.0,0.0,3.6,48.6,16.1,3.2,2.2,69.1
횡성군,1,3.9,0.0,0.6,64.9,-2.4,0.5,0.8,59.2
횡성군,6,20.7,0.5,1.5,76.6,23.0,1.4,1.6,67.5
