주소,월,x,y,xy
부산광역시 해운대구,5,129.1635961,35.16306667,"129.16359608401,35.1630666685425"
서울특별시 광진구,5,127.0823852,37.53855831,"127.082385189457,37.5385583136667"
서울특별시 송파구,5,127.1059222,37.51459092,"127.105922243305,37.5145909234015"
대구광역시 달성군,6,128.4312201,35.77447387,"128.431220139822,35.7744738663997"
대구광역시 동구,6,128.6355241,35.88662362,"128.635524099685,35.8866236166113"
전라북도 완주군,6,127.162119,35.9048146,"127.162119017463,35.9048145963422"
광주광역시 광산구,9,126.7936334,35.13954719,"126.793633444381,35.1395471867541"
광주광역시 북구,9,126.9120121,35.17417337,"126.912012078919,35.1741733740384"
강원도 철원군,11,127.3133799,38.14679199,"127.313379851684,38.146791988083"
충청북도 청원군,11,127.4884787,36.63464954,"127.488478654752,36.6346495436606"
경기도 성남시,12,127.1265163,37.41992491,"127.126516323057,37.4199249073274"
경기도 양평군,12,127.4875785,37.49178829,"127.487578470072,37.4917882876857"
경상북도 구미시,12,128.3442464,36.11957085,"128.344246361062,36.1195708487143"
경상북도 상주시,12,128.1591451,36.4109398,"128.159145076991,36.4109398001854"
인천광역시 서구,12,126.6760285,37.54543352,"126.676028468221,37.5454335160344"
전라남도 장성군,12,126.7849189,35.30185768,"126.784918877012,35.3018576771354"
전라남도 진도군,12,126.2634462,34.48682862,"126.263446186439,34.486828620348"
전라북도 남원시,12,127.3903964,35.41636275,"127.390396427422,35.4163627529983"
충청남도 예산군,12,126.8486422,36.6826228,"126.848642241312,36.6826228017861"
충청북도 옥천군,12,127.571345,36.30643556,"127.571345042936,36.3064355612681"
