주소,"강서지구 3,37.5901984197481, 126.81362533492893","중랑천 2,37.6030830331226, 127.072105737988","안양천  3,37.513562487735406, 126.87461172643478","탄천 2,37.49508293706438, 127.10150560559426","원천리천 3,37.26481224039535, 127.04976224622416","서호 3,37.280408134249136, 126.98755251443214","안성천 1,36.99139105195746, 127.20539544460591","경안천 2,37.309938272435886, 127.23553552424399","상패천 2,37.91927602221171, 127.05389142205611","왕송호수 3,37.30748917786908, 126.94731063485848","황구지천 2,37.20796105720859, 127.02548060229643","문산천 2,37.854639694880476, 126.75854096959318","포천천 2,37.89531095584674, 127.20096778249416","진위천 2,37.09793604326866, 127.08393302456683","남한강 2,37.460459499061464, 127.49638603216884","청미천 1,37.12186508716677, 127.39487102679448","시화호 1,37.30574012802834, 126.67318900588819","한강하구 1,37.63900600625263, 126.7392737093319","남양호 2,37.014705010495824, 126.80548911195082","화성호 2,37.11569165016753, 126.68399070425345","임진강 2,37.78837469359229, 126.66443256564555","팔당호 2,37.517786765600256, 127.30085067928745","공릉천 1,37.71153311751638, 126.84431089180522","천수만 1,36.606686550264854, 126.42022590245743","송정저수지 2,36.776518685002266, 127.37727865534171","도당천 2,36.80714447844311, 126.52479040293552","논산천 2,36.18278993438778, 127.13602531594704","풍세천 1,36.73350817705159, 127.1244086501327","곡교천 1,36.71877449174619, 127.15174380564193","금강호 2,36.003067864761206, 126.7392621031086","병천천 2,36.725838913572076, 127.33975466921613","간월호 2,36.64982878482214, 126.45513048255029","봉강천 1,36.764423602867765, 127.09015473839389","삽교호 2,36.871878675924705, 126.8408688154442","해미천 2,36.702223625170994, 126.56263020795463","봉선저수지 2,36.122350318713586, 126.77672013431376","아산호 2,36.90267012782007, 126.90366071698058","잠홍지 2,36.86183091315654, 126.49751943843305","석문간척지 2,36.98373310641944, 126.54384726738202","대호 2,37.018417616519976, 126.48222083422783","무한천 2,36.71991194571029, 126.82242403818584","부남호 2,36.67319913351787, 126.35083023955421","조류지 2,35.7835057158404, 126.63542818010029","금강하구둑 1,36.019581075069965, 126.74774856012905","만경강 1,35.892198153374686, 126.99399821147692","동림저수지 1,35.549802869235755, 126.71940396468966","동진강 1,35.68373784028254, 126.86079504883465","원평천 3,35.74647979945319, 126.93850431156142","전주천 2,35.802060277740146, 127.1716072485318","산수저수지 2,36.6994319040145, 126.56852268525259","함평대동저수지 2,35.13211104219479, 126.50607906456341","사내간척지 2,34.46251975253601, 126.7333378843619","만덕간척지 2,34.56578321910065, 126.7615639132014","고막원천 2,35.06842526203833, 126.59162469994376","주암댐 2,35.06371924138319, 127.23767782670512","영산강 2,34.76893810284395, 126.35098968807019","영암호 1,34.69724570173779, 126.47537026437189","고천암 2,34.52161252340564, 126.47457655553478","순천만 1,34.88677475630541, 127.50729078209247","금호호 1,34.62057239836871, 126.39840653700985","강진만 2,34.490791668173664, 126.77354817448324","지석천 2,35.00917066621701, 126.9113644244127","우습제 2,34.94017348080215, 126.57951161334536","담양습지 3,35.24009556727233, 126.88387920926465","황룡강 2,35.32701483996603, 126.79783650573678","한탄강 2,38.20119540754313, 127.27737191150247","토교저수지 2,38.28934502892065, 127.28936308358267","섬강 1,37.500690845580344, 127.99213918049267","철원평야 2,38.29310283134329, 127.21422992889252","남대천 3,37.75220997167653, 128.90134105532326","소양강 하류 2,37.89698617983393, 127.7454239624107","원주천 2,37.382704055767405, 127.94147033377192","남대천 3,38.107964222902496, 128.64361106592784","보강천 2,36.786518139596225, 127.57854158748","백곡지 2,36.86662724997134, 127.39976155953663","미호천 1,36.5162887821276, 127.31976281396229","무심천 2,36.58091002074261, 127.50346917018088","충주호 3,36.96033958118106, 128.0662729272722","안심습지 3,35.86502982622569, 128.74718716576282","형산강 1,35.92345596127968, 129.23887659738637","김천 2,36.09212308013244, 128.12331495113736","구미 3,36.18780476544952, 128.3702147007899","낙동강 2,35.83992615966229, 128.46110345037778","금호강 1,35.8174026069283, 128.48104618415317","낙동강하구 2,35.104959005687974, 128.9459320237596","태화강 3,35.53764149997886, 129.36999476035592","장척저수지 3,35.43456283906837, 128.49224351135572","양산천 2,35.32377076603513, 129.02006984526182","양산발생지 3,35.470702520283716, 129.26921645925657","낙동강 2,35.349387768425835, 128.9331287407582","주남저수지 3,35.3148538085958, 128.67272531322178","창녕우포 3,35.551935684595, 128.4139408551069","사천만 3,35.03397029572857, 128.0309809363544","목포늪 3,35.56254130753707, 128.40618339231","사지포 3,35.561613790429384, 128.4333952070682","산남저수지 3,35.35126887288887, 128.17443850327453","동판저수지 2,35.30133784622012, 128.68634622602417","화포천 2,35.31163742899077, 128.7875952437551","낙동강 3,35.27987524642292, 129.009763931276","하도리 2,33.51695001412742, 126.8838772052322","용수저수지 2,33.31741751732376, 126.18752882294538","오조리 3,33.463866194337236, 126.91796178149626","종달리 3,33.49242412098807, 126.89071411147393"
서울특별시 노원구,22.55,5.87,22.4,18.15,43.32,42.02,74.89,41.43,29.46,39.75,49.71,34.38,29.65,61.92,44.37,66.33,51.44,27.98,74.51,68.34,37.56,26.35,19.72,129.43,101.66,105.31,163.78,102.57,104.37,185.77,106.25,123.76,99.0,89.08,114.56,172.16,84.67,101.06,87.27,87.05,105.95,125.75,211.39,183.84,196.02,235.94,219.82,212.41,206.22,114.65,284.75,356.1,344.45,290.54,288.52,327.02,332.93,352.25,310.38,342.48,352.69,294.42,304.81,268.9,259.82,63.82,73.5,84.21,72.36,162.67,66.29,83.69,148.14,107.0,92.71,128.68,125.77,118.03,249.53,273.5,197.94,200.57,237.41,240.49,330.09,313.12,278.16,312.99,313.05,306.29,297.56,263.31,304.16,261.94,263.16,274.89,299.48,302.99,316.56,460.32,488.61,466.13,463.03
서울특별시 은평구,10.28,12.59,11.02,19.35,39.06,36.22,72.24,42.33,36.86,32.87,44.72,31.77,40.36,57.78,52.46,67.48,40.02,17.2,66.3,58.34,31.12,34.1,14.21,119.6,100.08,95.44,158.96,98.2,100.26,178.68,104.08,113.99,94.31,81.65,105.27,165.17,77.88,90.82,76.81,76.06,98.63,115.38,203.98,176.78,190.3,229.05,213.48,206.41,201.39,105.41,277.33,349.63,338.04,283.42,283.68,319.35,325.64,345.04,306.42,335.02,346.32,288.4,297.72,262.75,253.33,73.22,82.62,94.39,80.73,174.36,78.87,92.6,160.66,107.45,91.85,125.69,124.52,123.39,252.15,277.83,198.76,202.92,238.88,241.96,331.28,316.59,278.62,314.91,316.07,308.02,298.38,263.78,302.21,262.4,263.72,273.99,300.3,304.17,318.34,454.34,481.22,460.23,457.07
서울특별시 서대문구,10.92,12.21,9.13,17.28,36.36,33.53,69.55,39.9,39.19,30.23,42.02,34.41,42.13,55.08,51.09,65.01,38.29,18.63,63.84,56.18,33.4,32.81,16.82,117.45,97.41,93.29,156.28,95.5,97.56,176.14,101.39,111.82,91.62,79.11,103.0,162.62,75.29,88.75,74.79,74.2,96.09,113.35,201.48,174.24,187.66,226.5,210.88,203.79,198.72,103.13,274.83,347.04,335.45,280.9,281.01,316.88,323.13,342.52,303.73,332.52,343.73,285.79,295.19,260.14,250.74,75.34,84.8,93.46,83.02,173.98,79.4,91.3,160.99,104.89,89.21,122.98,121.86,121.34,249.72,275.6,196.19,200.47,236.35,239.44,328.73,314.25,276.03,312.42,313.68,305.51,295.8,261.18,299.51,259.81,261.13,271.33,297.72,301.62,315.84,451.73,478.72,457.61,454.45
서울특별시 마포구,8.19,15.58,6.33,19.33,35.99,32.69,69.35,41.02,41.47,29.06,41.33,34.44,45.08,54.52,53.77,65.91,35.3,16.42,61.92,53.67,32.32,35.62,16.91,114.93,97.42,90.77,155.25,94.69,96.82,174.43,101.21,109.33,90.72,77.41,100.67,160.95,73.8,86.12,72.1,71.33,94.38,110.66,199.66,172.53,186.34,224.82,209.37,202.38,197.65,100.81,272.98,345.46,333.88,279.14,279.9,314.95,321.31,340.72,302.87,330.66,342.18,284.34,293.44,258.67,249.17,77.92,87.3,96.45,85.34,177.25,82.83,94.02,164.41,105.44,89.44,122.52,121.89,123.15,250.69,277.01,196.71,201.4,237.02,240.1,329.29,315.42,276.4,313.18,314.73,306.22,296.26,261.56,299.22,260.19,261.54,271.33,298.19,302.18,316.56,450.27,476.86,456.18,453.0
서울특별시 양천구,9.38,20.48,0.8,20.86,32.38,28.39,65.69,39.9,47.67,24.36,37.12,38.73,51.33,50.41,55.92,64.13,29.05,17.61,56.12,47.46,35.03,38.3,21.72,108.7,93.96,84.55,150.28,90.07,92.29,168.73,97.46,103.1,86.0,71.77,94.53,155.29,68.39,79.85,65.82,65.05,88.72,104.39,193.86,166.84,181.03,219.14,203.85,196.98,192.62,94.68,267.15,339.86,328.3,273.38,274.81,309.06,315.51,334.93,298.06,324.81,336.61,278.89,287.69,253.19,243.6,84.19,93.55,99.29,91.53,181.07,88.1,96.05,169.36,102.85,86.37,118.32,118.44,122.92,248.7,275.85,193.96,199.35,234.5,237.58,326.55,313.78,273.38,310.79,312.87,303.74,293.38,258.56,295.16,257.18,258.58,267.73,295.31,299.46,314.1,444.79,471.01,450.71,447.52
서울특별시 강서구,5.4,20.44,4.7,23.06,36.4,32.45,69.73,43.35,44.72,28.41,41.18,34.71,49.21,54.47,57.93,67.82,31.4,13.8,59.75,50.56,31.03,39.96,17.86,111.69,97.99,87.57,154.25,94.1,96.33,172.4,101.51,106.13,90.02,75.51,97.74,158.98,72.24,82.73,68.63,67.55,92.44,107.15,197.46,170.52,184.89,222.82,207.63,200.8,196.57,97.91,270.72,343.58,332.03,277.01,278.74,312.57,319.09,338.53,302.06,328.35,340.34,282.69,291.31,256.97,247.33,81.47,90.72,100.91,88.5,182.0,87.68,98.16,169.29,106.75,90.35,122.38,122.47,126.12,252.49,279.41,197.9,203.15,238.4,241.48,330.49,317.48,277.37,314.67,316.62,307.64,297.34,262.54,299.22,261.17,262.56,271.77,299.28,303.4,317.99,448.57,474.55,454.5,451.3
서울특별시 구로구,12.39,20.2,2.31,18.88,29.38,25.49,62.72,37.02,49.34,21.56,34.22,41.52,52.32,47.5,53.87,61.15,28.35,20.63,53.95,45.91,38.03,36.54,24.32,107.18,90.97,83.02,147.63,87.29,89.49,166.47,94.51,101.56,83.25,69.46,92.79,153.0,65.93,78.47,64.53,64.04,86.43,103.08,191.69,164.58,178.53,216.87,201.47,194.53,190.0,92.93,265.01,337.53,325.96,271.18,272.21,306.98,313.34,332.76,295.36,322.68,334.26,276.47,285.48,250.79,241.26,85.61,95.06,97.45,93.21,179.64,87.7,93.89,168.65,99.83,83.36,115.45,115.46,120.13,245.69,272.91,190.94,196.34,231.48,234.56,323.53,310.8,270.37,307.77,309.86,300.72,290.36,255.54,292.27,254.17,255.57,264.76,292.29,296.43,311.08,442.39,468.89,448.3,445.12
서울특별시 금천구,16.49,22.51,6.57,18.67,25.34,21.24,58.58,34.2,53.27,17.23,29.97,45.84,55.67,43.25,53.04,57.78,25.85,24.49,49.81,42.3,42.11,36.4,28.68,103.52,86.88,79.37,143.28,82.96,85.16,162.25,90.33,97.88,78.91,65.23,88.96,148.77,61.63,74.98,61.13,60.95,82.2,99.64,187.51,160.36,174.2,212.64,197.19,190.23,185.65,89.08,260.85,333.28,321.7,266.98,267.87,302.86,309.17,328.57,291.01,318.53,330.0,272.18,281.28,246.5,236.99,89.3,98.81,96.89,97.1,179.72,89.39,92.74,169.83,96.04,79.4,111.17,111.36,117.47,242.09,269.67,187.05,192.72,227.66,230.75,319.62,307.33,266.38,303.99,306.3,296.92,286.41,251.56,288.01,250.19,251.59,260.6,288.35,292.54,307.28,438.1,464.73,444.01,440.83
서울특별시 영등포구,10.15,17.71,2.37,18.46,32.11,28.53,65.49,38.45,45.84,24.76,37.22,38.45,49.01,50.46,53.47,63.0,31.46,18.64,57.46,49.37,35.55,35.72,21.08,110.64,93.66,86.48,150.93,90.46,92.63,169.97,97.33,105.03,86.46,72.95,96.3,156.49,69.36,81.9,67.92,67.32,89.92,106.48,195.19,168.07,181.93,220.36,204.92,197.96,193.31,96.43,268.52,341.01,329.43,274.68,275.55,310.5,316.85,336.26,298.6,326.2,337.73,279.91,288.98,254.23,244.72,82.16,91.58,96.72,89.7,178.35,85.33,93.66,166.57,102.12,85.87,118.46,118.15,121.22,247.72,274.52,193.32,198.39,233.76,236.84,325.91,312.65,272.89,309.99,311.83,302.98,292.81,258.05,295.23,256.68,258.05,267.53,294.74,298.81,313.33,445.84,472.4,451.74,448.56
서울특별시 동작구,14.07,15.43,5.72,14.42,29.21,26.15,62.54,34.51,46.34,22.8,34.7,41.25,48.39,47.83,49.47,59.23,32.89,22.57,56.6,49.57,39.09,31.88,23.67,110.76,90.57,86.61,148.88,88.15,90.24,168.78,94.39,105.1,84.24,71.76,96.09,155.25,67.88,82.26,68.43,68.23,88.74,106.93,194.15,166.88,180.23,219.12,203.47,196.37,191.31,96.2,267.51,339.64,328.04,273.55,273.59,309.61,315.8,335.18,296.37,325.22,336.32,278.36,287.84,252.72,243.34,82.13,91.68,92.86,90.09,174.8,82.8,89.62,163.69,98.61,82.58,115.8,115.04,117.13,243.99,270.58,189.87,194.68,230.21,233.29,322.45,308.82,269.55,306.39,308.06,299.42,289.41,254.7,292.44,253.33,254.69,264.49,291.34,295.34,309.76,444.31,471.41,450.19,447.03
서울특별시 관악구,17.41,17.49,7.84,13.37,25.26,22.22,58.61,31.3,49.87,18.98,30.75,45.18,51.32,43.87,48.13,55.75,31.18,25.88,53.13,46.74,42.77,31.13,27.62,107.77,86.67,83.65,144.97,84.21,86.29,165.11,90.46,102.09,80.31,68.12,92.92,151.56,64.13,79.46,65.76,65.87,85.09,104.17,190.54,163.2,176.39,215.42,199.69,192.56,187.41,93.01,263.9,335.9,324.29,269.88,269.7,306.04,312.17,331.54,292.43,321.61,332.57,274.56,284.18,248.93,239.59,85.34,94.95,91.85,93.51,174.42,83.96,88.06,164.35,94.89,78.75,111.84,111.15,114.28,240.45,267.33,186.12,191.12,226.52,229.61,318.71,305.4,265.74,302.74,304.57,295.74,285.64,250.9,288.5,249.53,250.89,260.58,287.57,291.61,306.09,440.51,467.8,446.38,443.23
